,,,,,
Country or area,UN continental region,UN statistical region,Population (1 July 2018),Population (1 July 2019),Change
China,Asia,Eastern Asia,1427647786,1433783686,+0.43%
India,Asia,Southern Asia,1352642280,1366417754,+1.02%
United States,Americas,Northern America,327096265,329064917,+0.60%
Indonesia,Asia,South-eastern Asia,267670543,270625568,+1.10%
Pakistan,Asia,Southern Asia,212228286,216565318,+2.04%
Brazil,Americas,South America,209469323,211049527,+0.75%
Nigeria,Africa,Western Africa,195874683,200963599,+2.60%
Bangladesh,Asia,Southern Asia,161376708,163046161,+1.03%
Russia,Europe,Eastern Europe,145734038,145872256,+0.09%
Mexico,Americas,Central America,126190788,127575529,+1.10%
Japan,Asia,Eastern Asia,127202192,126860301,−0.27%
Ethiopia,Africa,Eastern Africa,109224414,112078730,+2.61%
Philippines,Asia,South-eastern Asia,106651394,108116615,+1.37%
Egypt,Africa,Northern Africa,98423598,100388073,+2.00%
Vietnam,Asia,South-eastern Asia,95545962,96462106,+0.96%
DR Congo,Africa,Middle Africa,84068091,86790567,+3.24%
Germany,Europe,Western Europe,83124418,83517045,+0.47%
Turkey,Asia,Western Asia,82340088,83429615,+1.32%
Iran,Asia,Southern Asia,81800188,82913906,+1.36%
Thailand,Asia,South-eastern Asia,68863514,69037513,+0.25%
United Kingdom,Europe,Northern Europe,67141684,67530172,+0.58%
France,Europe,Western Europe,64990511,65129728,+0.21%
Italy,Europe,Southern Europe,60627291,60550075,−0.13%
South Africa,Africa,Southern Africa,57792518,58558270,+1.33%
Tanzania,Africa,Eastern Africa,56313438,58005463,+3.00%
Myanmar,Asia,South-eastern Asia,53708320,54045420,+0.63%
Kenya,Africa,Eastern Africa,51392565,52573973,+2.30%
South Korea,Asia,Eastern Asia,51171706,51225308,+0.10%
Colombia,Americas,South America,49661048,50339443,+1.37%
Spain,Europe,Southern Europe,46692858,46736776,+0.09%
Argentina,Americas,South America,44361150,44780677,+0.95%
Uganda,Africa,Eastern Africa,42729036,44269594,+3.61%
Ukraine,Europe,Eastern Europe,44246156,43993638,−0.57%
Algeria,Africa,Northern Africa,42228408,43053054,+1.95%
Sudan,Africa,Northern Africa,41801533,42813238,+2.42%
Iraq,Asia,Western Asia,38433600,39309783,+2.28%
Afghanistan,Asia,Southern Asia,37171921,38041754,+2.34%
Poland,Europe,Eastern Europe,37921592,37887768,−0.09%
Canada,Americas,Northern America,37074562,37411047,+0.91%
Morocco,Africa,Northern Africa,36029093,36471769,+1.23%
Saudi Arabia,Asia,Western Asia,33702756,34268528,+1.68%
Uzbekistan,Asia,Central Asia,32476244,32981716,+1.56%
Peru,Americas,South America,31989260,32510453,+1.63%
Malaysia,Asia,South-eastern Asia,31528033,31949777,+1.34%
Angola,Africa,Middle Africa,30809787,31825295,+3.30%
Mozambique,Africa,Eastern Africa,29496004,30366036,+2.95%
Yemen,Asia,Western Asia,28498683,29161922,+2.33%
Ghana,Africa,Western Africa,28206728,28833629,+2.22%
Nepal,Asia,Southern Asia,28095714,28608710,+1.83%
Venezuela,Americas,South America,28887118,28515829,−1.29%
Madagascar,Africa,Eastern Africa,26262313,26969307,+2.69%
North Korea,Asia,Eastern Asia,25549604,25666161,+0.46%
Ivory Coast,Africa,Western Africa,25069230,25716544,+2.58%
Cameroon,Africa,Middle Africa,25216267,25876380,+2.62%
Australia,Oceania,Australia and New Zealand,24898152,25203198,+1.23%
Taiwan,Asia,Eastern Asia,23726460,23773876,+0.20%
Niger,Africa,Western Africa,22442822,23310715,+3.87%
Sri Lanka,Asia,Southern Asia,21228763,21323733,+0.45%
Burkina Faso,Africa,Western Africa,19751466,20321378,+2.89%
Mali,Africa,Western Africa,19077749,19658031,+3.04%
Romania,Europe,Eastern Europe,19506114,19364557,−0.73%
Malawi,Africa,Eastern Africa,18143217,18628747,+2.68%
Chile,Americas,South America,18729160,18952038,+1.19%
Kazakhstan,Asia,Central Asia,18319618,18551427,+1.27%
Zambia,Africa,Eastern Africa,17351708,17861030,+2.94%
Guatemala,Americas,Central America,17247849,17581472,+1.93%
Ecuador,Americas,South America,17084358,17373662,+1.69%
Netherlands,Europe,Western Europe,17059560,17097130,+0.22%
Syria,Asia,Western Asia,16945057,17070135,+0.74%
Cambodia,Asia,South-eastern Asia,16249792,16486542,+1.46%
Senegal,Africa,Western Africa,15854323,16296364,+2.79%
Chad,Africa,Middle Africa,15477729,15946876,+3.03%
Somalia,Africa,Eastern Africa,15008226,15442905,+2.90%
Zimbabwe,Africa,Eastern Africa,14438802,14645468,+1.43%
Guinea,Africa,Western Africa,12414293,12771246,+2.88%
Rwanda,Africa,Eastern Africa,12301970,12626950,+2.64%
Benin,Africa,Western Africa,11485044,11801151,+2.75%
Tunisia,Africa,Northern Africa,11565201,11694719,+1.12%
Belgium,Europe,Western Europe,11482178,11539328,+0.50%
Bolivia,Americas,South America,11353142,11513100,+1.41%
Cuba,Americas,Caribbean,11338134,11333483,−0.04%
Haiti,Americas,Caribbean,11123178,11263770,+1.26%
South Sudan,Africa,Eastern Africa,10975927,11062113,+0.79%
Burundi,Africa,Eastern Africa,10524117,10864245,+3.23%
Dominican Republic,Americas,Caribbean,10627141,10738958,+1.05%
Czech Republic,Europe,Eastern Europe,10665677,10689209,+0.22%
Greece,Europe,Southern Europe,10522246,10473455,−0.46%
Portugal,Europe,Southern Europe,10256193,10226187,−0.29%
Jordan,Asia,Western Asia,9965318,10101694,+1.37%
Azerbaijan,Asia,Western Asia,9949537,10047718,+0.99%
Sweden,Europe,Northern Europe,9971638,10036379,+0.65%
United Arab Emirates,Asia,Western Asia,9630959,9770529,+1.45%
Honduras,Americas,Central America,9587522,9746117,+1.65%
Hungary,Europe,Eastern Europe,9707499,9684679,−0.24%
Belarus,Europe,Eastern Europe,9452617,9452411,0.00%
Tajikistan,Asia,Central Asia,9100835,9321018,+2.42%
Austria,Europe,Western Europe,8891388,8955102,+0.72%
Papua New Guinea,Oceania,Melanesia,8606323,8776109,+1.97%
Serbia,Europe,Southern Europe,8802754,8772235,−0.35%
Switzerland,Europe,Western Europe,8525611,8591365,+0.77%
Israel,Asia,Western Asia,8381516,8519377,+1.64%
Togo,Africa,Western Africa,7889093,8082366,+2.45%
Sierra Leone,Africa,Western Africa,7650150,7813215,+2.13%
Hong Kong,Asia,Eastern Asia,7371730,7436154,+0.87%
Laos,Asia,South-eastern Asia,7061507,7169455,+1.53%
Paraguay,Americas,South America,6956066,7044636,+1.27%
Bulgaria,Europe,Eastern Europe,7051608,7000119,−0.73%
Lebanon,Asia,Western Asia,6859408,6855713,−0.05%
Libya,Africa,Northern Africa,6678559,6777452,+1.48%
Nicaragua,Americas,Central America,6465501,6545502,+1.24%
El Salvador,Americas,Central America,6420746,6453553,+0.51%
Kyrgyzstan,Asia,Central Asia,6304030,6415850,+1.77%
Turkmenistan,Asia,Central Asia,5850901,5942089,+1.56%
Singapore,Asia,South-eastern Asia,5757499,5804337,+0.81%
Denmark,Europe,Northern Europe,5752126,5771876,+0.34%
Finland,Europe,Northern Europe,5522576,5532156,+0.17%
Slovakia,Europe,Eastern Europe,5453014,5457013,+0.07%
Congo,Africa,Middle Africa,5244359,5380508,+2.60%
Norway,Europe,Northern Europe,5337962,5378857,+0.77%
Costa Rica,Americas,Central America,4999441,5047561,+0.96%
Palestine,Asia,Western Asia,4862979,4981420,+2.44%
Oman,Asia,Western Asia,4829473,4974986,+3.01%
Liberia,Africa,Western Africa,4818973,4937374,+2.46%
Ireland,Europe,Northern Europe,4818690,4882495,+1.32%
New Zealand,Oceania,Australia and New Zealand,4743131,4783063,+0.84%
Central African Republic,Africa,Middle Africa,4666368,4745185,+1.69%
Mauritania,Africa,Western Africa,4403313,4525696,+2.78%
